epoch,family,target,metric,score
1,size,0,r2,0.8471
1,size,1,r2,0.5148
1,size,2,r2,0.4681
1,size,3,r2,0.6217
1,size,4,r2,0.6888
1,size,mean,r2,0.6281
2,size,0,r2,0.8618
2,size,1,r2,0.5291
2,size,2,r2,0.4813
2,size,3,r2,0.6179
2,size,4,r2,0.6997
2,size,mean,r2,0.638
3,size,0,r2,0.8611
3,size,1,r2,0.5862
3,size,2,r2,0.5056
3,size,3,r2,0.6371
3,size,4,r2,0.7217
3,size,mean,r2,0.6623
4,size,0,r2,0.874
4,size,1,r2,0.5918
4,size,2,r2,0.5278
4,size,3,r2,0.6471
4,size,4,r2,0.7459
4,size,mean,r2,0.6773
5,size,0,r2,0.8812
5,size,1,r2,0.6026
5,size,2,r2,0.5095
5,size,3,r2,0.6237
5,size,4,r2,0.743
5,size,mean,r2,0.672
6,size,0,r2,0.8601
6,size,1,r2,0.6143
6,size,2,r2,0.5333
6,size,3,r2,0.6442
6,size,4,r2,0.7295
6,size,mean,r2,0.6763
7,size,0,r2,0.8803
7,size,1,r2,0.6377
7,size,2,r2,0.5346
7,size,3,r2,0.6473
7,size,4,r2,0.7456
7,size,mean,r2,0.6891
8,size,0,r2,0.8762
8,size,1,r2,0.6171
8,size,2,r2,0.5251
8,size,3,r2,0.6352
8,size,4,r2,0.7567
8,size,mean,r2,0.6821
9,size,0,r2,0.894
9,size,1,r2,0.6154
9,size,2,r2,0.5202
9,size,3,r2,0.625
9,size,4,r2,0.7503
9,size,mean,r2,0.681
10,size,0,r2,0.8835
10,size,1,r2,0.6065
10,size,2,r2,0.5276
10,size,3,r2,0.6322
10,size,4,r2,0.7567
10,size,mean,r2,0.6813
