seed,epoch,family,score
2026,1,density,0.7647
2026,1,disease,0.8493
2026,1,location,0.4157
2026,1,radiomics,0.6469
2026,1,size,0.6497
2026,2,density,0.7908
2026,2,disease,0.8506
2026,2,location,0.5271
2026,2,radiomics,0.6652
2026,2,size,0.6749
2026,3,density,0.8184
2026,3,disease,0.8492
2026,3,location,0.5872
2026,3,radiomics,0.7279
2026,3,size,0.6877
2026,4,density,0.8255
2026,4,disease,0.8506
2026,4,location,0.6224
2026,4,radiomics,0.7698
2026,4,size,0.6873
2026,5,density,0.8484
2026,5,disease,0.8507
2026,5,location,0.6514
2026,5,radiomics,0.7456
2026,5,size,0.7027
2026,6,density,0.8457
2026,6,disease,0.851
2026,6,location,0.6793
2026,6,radiomics,0.7425
2026,6,size,0.6997
2026,7,density,0.8676
2026,7,disease,0.8506
2026,7,location,0.6881
2026,7,radiomics,0.7704
2026,7,size,0.6931
2026,8,density,0.8746
2026,8,disease,0.8495
2026,8,location,0.6982
2026,8,radiomics,0.7886
2026,8,size,0.6874
2026,9,density,0.8735
2026,9,disease,0.8517
2026,9,location,0.702
2026,9,radiomics,0.7939
2026,9,size,0.713
2026,10,density,0.8817
2026,10,disease,0.8513
2026,10,location,0.7092
2026,10,radiomics,0.7896
2026,10,size,0.7144
2027,1,density,0.7487
2027,1,disease,0.8486
2027,1,location,0.389
2027,1,radiomics,0.6498
2027,1,size,0.6495
2027,2,density,0.7848
2027,2,disease,0.8515
2027,2,location,0.5044
2027,2,radiomics,0.6769
2027,2,size,0.6606
2027,3,density,0.8072
2027,3,disease,0.8514
2027,3,location,0.5462
2027,3,radiomics,0.6953
2027,3,size,0.6806
2027,4,density,0.8382
2027,4,disease,0.8531
2027,4,location,0.5734
2027,4,radiomics,0.7269
2027,4,size,0.6835
2027,5,density,0.8511
2027,5,disease,0.8528
2027,5,location,0.5908
2027,5,radiomics,0.7251
2027,5,size,0.6926
2027,6,density,0.8543
2027,6,disease,0.8514
2027,6,location,0.6139
2027,6,radiomics,0.7504
2027,6,size,0.6983
2027,7,density,0.8751
2027,7,disease,0.852
2027,7,location,0.6275
2027,7,radiomics,0.7136
2027,7,size,0.6876
2027,8,density,0.8778
2027,8,disease,0.8517
2027,8,location,0.6344
2027,8,radiomics,0.7767
2027,8,size,0.6985
2027,9,density,0.8821
2027,9,disease,0.8518
2027,9,location,0.6576
2027,9,radiomics,0.7481
2027,9,size,0.702
2027,10,density,0.8829
2027,10,disease,0.8505
2027,10,location,0.6595
2027,10,radiomics,0.7705
2027,10,size,0.6998
2028,1,density,0.7496
2028,1,disease,0.8498
2028,1,location,0.3659
2028,1,radiomics,0.6459
2028,1,size,0.6645
2028,2,density,0.7957
2028,2,disease,0.8532
2028,2,location,0.5036
2028,2,radiomics,0.6764
2028,2,size,0.6833
2028,3,density,0.8134
2028,3,disease,0.853
2028,3,location,0.5455
2028,3,radiomics,0.7133
2028,3,size,0.6748
2028,4,density,0.8352
2028,4,disease,0.8537
2028,4,location,0.5552
2028,4,radiomics,0.7492
2028,4,size,0.6882
2028,5,density,0.8304
2028,5,disease,0.8525
2028,5,location,0.5793
2028,5,radiomics,0.7414
2028,5,size,0.6859
2028,6,density,0.8406
2028,6,disease,0.852
2028,6,location,0.608
2028,6,radiomics,0.7723
2028,6,size,0.6844
2028,7,density,0.849
2028,7,disease,0.8525
2028,7,location,0.6159
2028,7,radiomics,0.7756
2028,7,size,0.6864
2028,8,density,0.8542
2028,8,disease,0.8501
2028,8,location,0.6295
2028,8,radiomics,0.773
2028,8,size,0.6952
2028,9,density,0.8565
2028,9,disease,0.8518
2028,9,location,0.644
2028,9,radiomics,0.7802
2028,9,size,0.6914
2028,10,density,0.8646
2028,10,disease,0.8516
2028,10,location,0.6335
2028,10,radiomics,0.7811
2028,10,size,0.6941
