seed,epoch,family,score
2026,1,density,0.7386
2026,1,disease,0.8488
2026,1,location,0.3892
2026,1,radiomics,0.6375
2026,1,size,0.6361
2026,2,density,0.7521
2026,2,disease,0.8496
2026,2,location,0.5019
2026,2,radiomics,0.6456
2026,2,size,0.6561
2026,3,density,0.772
2026,3,disease,0.8484
2026,3,location,0.5337
2026,3,radiomics,0.668
2026,3,size,0.6658
2026,4,density,0.7684
2026,4,disease,0.8502
2026,4,location,0.5815
2026,4,radiomics,0.679
2026,4,size,0.6744
2026,5,density,0.7865
2026,5,disease,0.8505
2026,5,location,0.5927
2026,5,radiomics,0.6686
2026,5,size,0.6823
2026,6,density,0.8004
2026,6,disease,0.8504
2026,6,location,0.6258
2026,6,radiomics,0.688
2026,6,size,0.6828
2026,7,density,0.81
2026,7,disease,0.8501
2026,7,location,0.6136
2026,7,radiomics,0.6842
2026,7,size,0.6832
2026,8,density,0.8176
2026,8,disease,0.8493
2026,8,location,0.6331
2026,8,radiomics,0.721
2026,8,size,0.6743
2026,9,density,0.8247
2026,9,disease,0.8514
2026,9,location,0.6433
2026,9,radiomics,0.7087
2026,9,size,0.6806
2026,10,density,0.8304
2026,10,disease,0.8507
2026,10,location,0.633
2026,10,radiomics,0.7116
2026,10,size,0.6844
2027,1,density,0.7264
2027,1,disease,0.8478
2027,1,location,0.3808
2027,1,radiomics,0.6303
2027,1,size,0.6406
2027,2,density,0.7546
2027,2,disease,0.8496
2027,2,location,0.4938
2027,2,radiomics,0.6648
2027,2,size,0.6547
2027,3,density,0.7738
2027,3,disease,0.8506
2027,3,location,0.5162
2027,3,radiomics,0.6738
2027,3,size,0.6665
2027,4,density,0.7879
2027,4,disease,0.8513
2027,4,location,0.5543
2027,4,radiomics,0.6804
2027,4,size,0.6676
2027,5,density,0.7996
2027,5,disease,0.8522
2027,5,location,0.5953
2027,5,radiomics,0.6951
2027,5,size,0.6768
2027,6,density,0.8026
2027,6,disease,0.8505
2027,6,location,0.6047
2027,6,radiomics,0.6915
2027,6,size,0.6762
2027,7,density,0.8074
2027,7,disease,0.8502
2027,7,location,0.6272
2027,7,radiomics,0.6938
2027,7,size,0.6737
2027,8,density,0.8164
2027,8,disease,0.8514
2027,8,location,0.6369
2027,8,radiomics,0.7034
2027,8,size,0.681
2027,9,density,0.8246
2027,9,disease,0.8512
2027,9,location,0.6551
2027,9,radiomics,0.7042
2027,9,size,0.6778
2027,10,density,0.8239
2027,10,disease,0.8511
2027,10,location,0.6488
2027,10,radiomics,0.7166
2027,10,size,0.6761
2028,1,density,0.7187
2028,1,disease,0.8483
2028,1,location,0.3968
2028,1,radiomics,0.638
2028,1,size,0.6458
2028,2,density,0.7465
2028,2,disease,0.8517
2028,2,location,0.5164
2028,2,radiomics,0.6647
2028,2,size,0.6669
2028,3,density,0.7663
2028,3,disease,0.852
2028,3,location,0.5479
2028,3,radiomics,0.6724
2028,3,size,0.6583
2028,4,density,0.7791
2028,4,disease,0.8533
2028,4,location,0.584
2028,4,radiomics,0.6851
2028,4,size,0.6704
2028,5,density,0.7846
2028,5,disease,0.8513
2028,5,location,0.5989
2028,5,radiomics,0.6863
2028,5,size,0.6718
2028,6,density,0.7996
2028,6,disease,0.8518
2028,6,location,0.6173
2028,6,radiomics,0.7
2028,6,size,0.675
2028,7,density,0.8109
2028,7,disease,0.8519
2028,7,location,0.6123
2028,7,radiomics,0.7017
2028,7,size,0.6824
2028,8,density,0.8031
2028,8,disease,0.8515
2028,8,location,0.618
2028,8,radiomics,0.7146
2028,8,size,0.6819
2028,9,density,0.8211
2028,9,disease,0.8527
2028,9,location,0.6475
2028,9,radiomics,0.7051
2028,9,size,0.6827
2028,10,density,0.8148
2028,10,disease,0.8508
2028,10,location,0.6415
2028,10,radiomics,0.7192
2028,10,size,0.6721
